label,text
spam,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV"
ham,Umma. Did she say anything
ham,That's y we haf to combine n c how lor...
ham,I went to project centre
ham,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.
ham,How are you. Its been ages. How's abj
ham,"Not yet chikku..going to room nw, i'm in bus.."
ham,Ok. I asked for money how far
ham,Howz that persons story
ham," says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !"
ham,So that means you still think of teju
ham,7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st Ur Lovely Friendship... good morning dear
ham,Where r e meeting tmr?
ham,I donno its in your genes or something
ham,Never y lei... I v lazy... Got wat? Dat day ü send me da url cant work one...
ham,I dont want to hear anything
ham,Indeed and by the way it was either or - not both !
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
ham,"K give me a sec, breaking a  &lt;#&gt;  at cstore"
ham,Hey company elama po mudyadhu.
ham,"Sorry, I'll call later"
ham,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate "
ham,U still painting ur wall?
ham,"I'm back, lemme know when you're ready"
ham,"Haha awesome, I've been to 4u a couple times. Who all's coming?"
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
ham,Ill be there on  &lt;#&gt;  ok.
ham,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju)
ham,Yep then is fine 7.30 or 8.30 for ice age.
ham,Thats cool. i liked your photos. You are very sexy!
ham,"Yes, princess. Toledo."
spam,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201
ham,Onum ela pa. Normal than.
ham,So how many days since then?
ham,How r ü going to send it to me?
ham,Dude we should go sup again
ham,Do u hav any frnd by name ashwini in ur college?
ham,See? I thought it all through
ham,Nope... Juz off from work...
ham,The greatest test of courage on earth is to bear defeat without losing heart....gn tc
ham,Thts god's gift for birds as humans hav some natural gift frm god..
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
ham,WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!
ham,Good Morning my Dear Shijutta........... Have a great &amp; successful day.
ham,Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?
ham,Am in film ill call you later.
ham,:) 
ham,God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!
ham,"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word"
ham,SYMPTOMS when U are in love: 1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your
ham,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*"
ham,Speak only when you feel your words are better than the silence... Gud mrng:-)
spam,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL
ham,"Yes, princess. Are you going to make me moan?"
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only
ham,You are not bothering me but you have to trust my answers. Pls.
ham,Love you aathi..love u lot..
ham,"alright, I'll make sure the car is back tonight"
ham,Our Prasanth ettans mother passed away last night. Just pray for her and family.
ham,I can do that! I want to please you both inside and outside the bedroom...
ham,Leave it de:-). Start Prepare for next:-)..
ham,What happened to our yo date?
ham,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!"
ham,Honey boo I'm missing u.
ham,"As usual..iam fine, happy &amp; doing well..:)"
ham,No calls..messages..missed calls
ham,"Yeah, probably earlier than that"
ham,Jokin only lar... :-) depends on which phone my father can get lor...
ham,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
ham,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; ."
spam,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)"
ham,What pa tell me.. I went to bath:-)
ham,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:)
ham,"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!"
ham,Hey... are you going to quit soon? Xuhui and i working till end of the month 
ham,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice
ham,Jay's getting really impatient and belligerent
ham,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for"
ham,I called and said all to him:)then he have to choose this future.
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
ham,I need you to be in my strong arms...
spam,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm
ham,"Well, i'm glad you didn't find it totally disagreeable ... Lol"
ham,Gibbs unsold.mike hussey
ham,"I want to show you the world, princess :) how about europe?"
ham,"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?"
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066
ham,I will come tomorrow di
ham,Can do lor...
ham,Later i guess. I needa do mcat study too.
spam,"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only £1.50/week. SavaMob - offers mobile!"
ham,I want to see your pretty pussy...
ham,Yeah it's jus rite...
spam,WIN a £200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 £1.50perweeksub.
ham,"sorry, no, have got few things to do. may be in pub later."
ham,Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.
ham,Well i will watch shrek in 3D!!B)
ham,Good Morning plz call me sir
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
ham,I liked the new mobile
ham,Oh ok no prob..
ham,Haha... dont be angry with yourself... Take it as a practice for the real thing. =) 
spam,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out
ham,"Do whatever you want. You know what the rules are. We had a talk earlier this week about what had to start happening, you showing responsibility. Yet, every week it's can i bend the rule this way? What about that way? Do whatever. I'm tired of having thia same argument with you every week. And a  &lt;#&gt;  movie DOESNT inlude the previews. You're still getting in after 1."
ham,Sat right? Okay thanks... 
ham,"idc get over here, you are not weaseling your way out of this shit twice in a row"
ham,Good. No swimsuit allowed :)
ham,Ok then no need to tell me anything i am going to sleep good night
ham,You will go to walmart. I.ll stay.
ham,I'm in class. Did you get my text.
spam,"accordingly. I repeat, just text the word ok on your mobile phone and send"
ham,Come to my home for one last time i wont do anything. Trust me.
ham,Ya srsly better than yi tho
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
ham,"If we hit it off, you can move in with me :)"
ham,Then what about further plan?
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
ham,Er mw im filled tuth is aight
ham,Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...
ham,A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die
ham,Lolnice. I went from a fish to ..water.?
ham,Yo you around? A friend of mine's lookin to pick up later tonight
ham,At what time are you coming.
ham,Yes. I come to nyc for audiitions and am trying to relocate.
ham,Boo what time u get out? U were supposed to take me shopping today. :(
ham,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA
ham,"If e timing can, then i go w u lor..."
ham,Wait 2 min..stand at bus stop
ham,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.
ham,"Hi, wlcome back, did wonder if you got eaten by a lion or something, nothing much"
ham,Are you this much buzy
ham,"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx"
ham,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
ham,"Sorry, went to bed early, nightnight"
spam,Please CALL 08712402578 immediately as there is an urgent message waiting for you
ham,Lol no. Just trying to make your day a little more interesting
spam,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or £10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+"
ham,alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap
ham,ARR birthday today:) i wish him to get more oscar.
ham,Oh yeah clearly it's my fault
ham,"Just sent again. Do you scream and moan in bed, princess?"
spam,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p
ham,Good evening! How are you?
ham,Are you this much buzy
ham,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it...."
ham,"I'll see, but prolly yeah"
ham,I cant pick the phone right now. Pls send a message
ham,Want to finally have lunch today?
ham,First has she gained more than  &lt;#&gt; kg since she took in. Second has she done the blood sugar tests. If she has and its ok and her blood pressure is within normal limits then no worries
ham,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
ham,Still i have not checked it da. . .
ham,Can not use foreign stamps in this country.
ham,Then ü come n pick me at 530 ar?
ham,soon you will have the real thing princess! Do i make you wet? :)
ham,S:)s.nervous  &lt;#&gt; :)
ham,"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea"
ham,Shall i ask one thing if you dont mistake me.
ham,"Sir, I need AXIS BANK account no and bank address."
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
ham,Holy living christ what is taking you so long
ham,I will come to ur home now
ham,Do you know where my lab goggles went
ham,I dont. Can you send it to me. Plus how's mode.
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
spam,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL"
ham,"Short But Cute: Be a good person, but dont try to prove it.. .Gud noon...."
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
ham,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY
ham,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... "
ham,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
ham,Just got outta class gonna go gym.
ham,Great to hear you are settling well. So what's happenin wit ola?
ham,I always chat with you. In fact i need money can you raise me?
spam,"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182"
ham,Me too baby! I promise to treat you well! I bet you will take good care of me...
ham,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)"
ham,That seems unnecessarily affectionate
ham,Am i that much dirty fellow?
ham,Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
ham,Yes fine 
ham,Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...
ham,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams
spam,As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP
ham,Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!
ham,Oh is it? Send me the address
ham,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.
ham,Why i come in between you people
ham,"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?"
ham,No just send to you. Bec you in temple na.
ham,V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy VALENTINES DAY in advance
ham,Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.
ham,This pay is  &lt;DECIMAL&gt;  lakhs:)
ham,I could ask carlos if we could get more if anybody else can chip in
spam,PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester."
ham,Need a coffee run tomo?Can't believe it's that time of week already
spam,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy "
ham,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday."
ham,Ok. I only ask abt e movie. U wan ktv oso?
ham,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...
ham,I cant pick the phone right now. Pls send a message
ham,"Awesome, that gonna be soon or later tonight?"
ham,Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
spam,Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app 
ham,"Great. I'm in church now, will holla when i get out"
ham,HMM yeah if your not too grooved out! And im looking forward to my pound special :)
ham,"Just looked it up and addie goes back Monday, sucks to be her"
ham,Watching tv now. I got new job :)
ham,What???? Hello wats talks email address?
spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
ham,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*"
ham,Goin to workout lor... Muz lose e fats... 
ham,say thanks2. 
ham,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya 
ham,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts
ham,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK."
ham,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?"
ham,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now..."
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8
ham,Feb  &lt;#&gt;  is I LOVE U day. Send dis to all ur VALUED FRNDS evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr
ham,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :)
ham,"Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?"
ham,Have you had a good day? Mine was really busy are you up to much tomorrow night?
ham,Shb b ok lor... Thanx...
ham,I wont. So wat's wit the guys
ham,"What will we do in the shower, baby?"
ham,Oi when you gonna ring
ham,Aaooooright are you at work?
ham,"Sorry, I'll call later"
ham,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...
ham,Did u got that persons story
ham,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?
ham,"Sorry, I can't help you on this."
ham,Ugh I don't wanna get out of bed. It's so warm.
ham,Gd luck 4 ur exams :-)
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
ham,I'm at work. Please call
ham,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later."
ham,She went to attend another two rounds today..but still did't reach home..
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
spam,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 £3/wk 087016248
spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx
ham,i thought we were doing a king of the hill thing there.
ham,"No my blankets are sufficient, thx"
ham,"Aight, call me once you're close"
ham,Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx
ham,Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?
ham,Thought praps you meant another one. Goodo! I'll look tomorrow 
ham,So that takes away some money worries
ham,I'm e person who's doing e sms survey...
ham,Then ur physics get a-?
ham,"Aight fuck it, I'll get it later"
ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later."
ham,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-)
spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
ham,Lmao you know me so well...
spam,"URGENT! Your mobile was awarded a £1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011"
ham,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..
ham,"Right on brah, see you later"
ham,Ok no problem... Yup i'm going to sch at 4 if i rem correctly...
ham,"Ok., is any problem to u frm him? Wats matter?"
ham,Really dun bluff me leh... U sleep early too. Nite...
ham,Ok... Ur typical reply...
ham,Yup. Wun believe wat? U really neva c e msg i sent shuhui?
ham,Hope you are having a great day.
ham,Ok. She'll be ok. I guess
ham,You're right I have now that I think about it
ham,In meeting da. I will call you
ham,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly.."
ham,Why nothing. Ok anyway give me treat
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
ham,R u in this continent?
ham,I'm not smoking while people use wylie smokes too much to justify ruining my shit
ham,Now only i reached home. . . I am very tired now. . I will come tomorro
ham,S:-)if we have one good partnership going we will take lead:)
ham,Will purchase d stuff today and mail to you. Do you have a po box number?
ham,I cant wait to see you! How were the photos were useful? :)
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
ham,Lol well don't do it without me. We could have a big sale together.
ham,You do got a shitload of diamonds though
ham,"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore"
ham,TaKe CaRE n gET WeLL sOOn
ham,Y bishan lei... I tot ü say lavender? 
ham,I donno if they are scorable
ham,Can i get your opinion on something first?
ham,Feb  &lt;#&gt;  is I LOVE U day. Send dis to all ur VALUED FRNDS evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr
ham,No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u
ham,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe"
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
ham,Where are the garage keys? They aren't on the bookshelf
ham,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer... "
ham,R u here yet? I'm wearing blue shirt n black pants.
ham,Have a nice day my dear.
ham,"Well, i'm gonna finish my bath now. Have a good...fine night."
ham,"Sorry im getting up now, feel really bad- totally rejected that kinda me thing."
ham,I'm done. C ü there.
ham,You still around? I could use a half-8th
ham,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day
ham,Can not use foreign stamps in this country. Good lecture .
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm"
ham,Printer is cool. I mean groovy. Wine is groovying
spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
