weight_holes,weight_height,weight_bumpiness,weight_line_clear,weight_hollow_columns,weight_row_transition,weight_col_transition,weight_pit_count,weight_to_consider ,score
-0.588,-0.154,-0.262,-0.729,-0.663,-0.766,-0.321,-0.625,"[0, 1, 2, 3, 4, 5, 6, 7]",3727.0
-0.588,-0.154,-0.262,-0.729,-0.683,-0.766,-0.015,-0.625,"[0, 1, 2, 3, 4, 5, 6, 7]",3514.0
-0.559,-0.177,-0.669,-0.729,-0.663,-0.882,-0.321,-0.349,"[0, 1, 2, 3, 4, 5, 6, 7]",1879.0
-0.588,-0.177,-0.262,-0.729,-0.663,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3858.0
-0.559,-0.177,-0.262,-0.729,-0.683,-0.882,-0.321,-0.625,"[0, 1, 2, 3, 4, 5, 6, 7]",894.0
-0.588,-0.177,-0.669,-0.212,-0.663,-0.766,-0.53,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3674.0
-0.559,-0.177,-0.262,-0.729,-0.663,-0.766,-0.083,-0.379,"[0, 1, 2, 3, 4, 5, 6, 7]",3642.0
-0.588,-0.177,-0.322,0.712,-0.683,-0.766,-0.634,-0.625,"[0, 1, 2, 3, 4, 5, 6, 7]",698.0
-0.588,-0.177,-0.669,-0.729,-0.683,0.938,0.237,-0.625,"[0, 1, 2, 3, 4, 5, 6, 7]",175.0
-0.588,0.669,-0.262,-0.729,-0.663,-0.766,-0.321,-0.625,"[0, 1, 2, 3, 4, 5, 6, 7]",425.0
-0.588,0.339,0.631,-0.729,-0.683,0.798,-0.083,-0.625,"[0, 1, 2, 3, 4, 5, 6, 7]",151.0
-0.984,-0.177,-0.669,-0.729,-0.504,-0.766,-0.321,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3677.0
-0.588,-0.177,-0.669,0.712,-0.683,-0.766,-0.321,-0.625,"[0, 1, 2, 3, 4, 5, 6, 7]",3613.0
-0.588,-0.154,-0.262,-0.729,-0.663,-0.766,-0.321,-0.625,"[0, 1, 2, 3, 4, 5, 6, 7]",4027.0
-0.588,-0.177,-0.669,-0.729,-0.683,-0.766,-0.083,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3649.0
-0.588,0.805,-0.669,-0.729,-0.663,-0.766,-0.321,-0.625,"[0, 1, 2, 3, 4, 5, 6, 7]",426.0
-0.559,-0.927,-0.262,-0.729,-0.683,-0.766,0.086,-0.625,"[0, 1, 2, 3, 4, 5, 6, 7]",3451.0
-0.588,-0.177,-0.322,-0.998,-0.683,-0.766,-0.083,-0.625,"[0, 1, 2, 3, 4, 5, 6, 7]",3548.0
-0.948,-0.154,-0.669,0.712,-0.663,-0.766,-0.083,-0.757,"[0, 1, 2, 3, 4, 5, 6, 7]",3702.0
-0.588,-0.177,-0.322,-0.998,-0.663,-0.882,-0.634,-0.625,"[0, 1, 2, 3, 4, 5, 6, 7]",3850.0
